id;name;description;telephone;img_path;is_dedicated_gluten_free;website;table_number;created_by;created_date;last_modified_by;last_modified_date
3470da62-5c11-499d-ac5c-7c61a547caaf;Compatible Avon revolutionize;Account Mouse Web;1-866-284-0846 x90527;Vision-oriented productize;false;Bedfordshire Planner application;31277;See Dynamic grey;2023-04-07T20:02:12;Handcrafted;2023-04-07T17:58:41
fdce3305-c8b9-4096-929c-4b70d680c3fc;methodical Bike dot-com;deposit connect;886.952.4240;Business-focused Human RAM;false;Bedfordshire;97008;Handcrafted bottom-line Spurs;2023-04-07T20:53:41;payment;2023-04-08T05:35:16
a1598768-ae03-4f42-883a-600accc3ef80;Meadows recontextualize interactive;plug-and-play;1-868-799-7471 x089;Cotton Functionality;true;Kids functionalities;37862;Mouse cohesive Oklahoma;2023-04-08T01:59:29;salmon applications parallelism;2023-04-08T00:38:34
54c1caea-106f-491b-acfc-538770a2fdea;payment homogeneous circuit;recontextualize Applications Intranet;810-651-1918 x491;alarm;true;B2C invoice;78513;deposit;2023-04-07T13:06:18;mobile;2023-04-08T04:13:22
4a96902c-c25e-4a0a-a2f5-bf9611e506a6;Grocery Borders;Keyboard Shirt;(454) 812-8267;benchmark encompassing calculate;false;benchmark Officer Inlet;65353;Fish Designer Loan;2023-04-08T03:02:02;Cape conglomeration Liaison;2023-04-08T11:30:53
5529607b-9b80-4f5c-b28e-f39e323153f9;monitor;programming web-enabled;(726) 906-9284;end-to-end Quetzal;true;Coordinator;35285;Infrastructure;2023-04-07T12:39:29;sensor Switchable Checking;2023-04-07T16:32:09
0cba86e0-02e1-4ff8-b5ec-a9242e17150e;Assistant Avon reintermediate;Account Account copying;687.461.2607;Loan online;true;Leu bandwidth;27466;Wisconsin;2023-04-07T15:48:08;Self-enabling;2023-04-08T10:48:35
b1ada45f-04e9-47b3-b9f4-262c108f9294;deploy Tasty;real-time;(582) 918-5867;Tanzania;false;Togo executive ivory;90579;payment blue;2023-04-07T20:13:40;AI;2023-04-08T00:24:54
e15b9d41-e062-47cf-ba7f-f3aa1c5a6aa1;Unbranded;unleash backing;(505) 297-4543;Islands, Fully-configurable;true;Idaho Focused;43490;Refined copying;2023-04-07T19:31:28;bandwidth;2023-04-08T03:02:22
e46d3953-3e9c-432b-9712-2f90fe746ed1;Soft;AI Handcrafted cyan;346.887.0619 x39568;Tuna open-source;false;Legacy incubate Books;5995;SDD quantify alarm;2023-04-08T03:34:16;product structure;2023-04-08T06:24:20
